Stock Name,Date,High,50_day_EMA_High,100_day_EMA_High,150_day_EMA_High,200_day_EMA_High,250_day_EMA_High,Max High,Max High Date,Tending Status
532067,2024-12-02 00:00:00+05:30,1944,1533.351134,1406.537735,1303.620817,1218.4133,1146.812787,1944,2024-12-02 00:00:00+05:30,Yes
AARON,2024-12-03 00:00:00+05:30,340.9500122,299.0284457,287.5252015,282.1838285,277.7858635,273.1116898,350,2024-11-22 00:00:00+05:30,Yes
539528,2024-12-02 00:00:00+05:30,154.3000031,112.2765158,116.0580482,120.86736,120.446491,117.160682,313.9500122,2024-06-26 00:00:00+05:30,No
BIRLAMONEY,2024-12-03 00:00:00+05:30,187,163.9765951,159.4438191,153.5707532,147.1351736,140.8609374,189.0800018,2024-07-18 00:00:00+05:30,Yes
AEGISLOG,2024-12-03 00:00:00+05:30,845.0999756,810.1700552,802.4052247,797.4885516,792.7573938,788.5710461,970,2024-07-09 00:00:00+05:30,Yes
AGARIND,2024-12-03 00:00:00+05:30,1238,1125.274615,1129.817998,1111.600416,1086.219986,1058.675609,1337.856843,2024-08-26 00:00:00+05:30,No
AJMERA,2024-12-03 00:00:00+05:30,1114,905.2472104,832.4287465,788.003144,750.0951056,715.9065563,1114.949951,2024-11-29 00:00:00+05:30,Yes
535916,2024-12-02 00:00:00+05:30,178,165.8280114,147.7552215,131.5754305,118.0616671,106.9207285,188,2024-11-18 00:00:00+05:30,Yes
ANANDRATHI,2024-12-03 00:00:00+05:30,4264.950195,4070.820439,3990.877836,3867.18905,3705.23972,3529.790975,4382,2024-10-21 00:00:00+05:30,Yes
ARIHANTCAP,2024-12-03 00:00:00+05:30,108.9000015,107.000154,99.99004911,93.77956273,89.03270138,85.34726252,124.8000031,2024-10-17 00:00:00+05:30,Yes
526443,2024-12-02 00:00:00+05:30,291.8999939,258.8971306,207.179134,170.3215365,144.2237764,125.0225392,310.5,2000-05-11 00:00:00+05:30,Yes
543766,2024-12-02 00:00:00+05:30,774.7000122,550.2590507,421.2200126,342.8264566,290.9947143,254.2502364,774.7000122,2024-12-02 00:00:00+05:30,Yes
ASALCBR,2024-12-03 00:00:00+05:30,1055,942.7083212,887.2893947,829.9471552,781.805331,742.7432009,1055,2024-12-03 00:00:00+05:30,Yes
538713,2024-12-02 00:00:00+05:30,219.9499969,188.6999783,164.1488797,146.3278906,132.5680922,121.6830663,244.5500031,2024-11-11 00:00:00+05:30,Yes
539399,2024-12-02 00:00:00+05:30,621.7999878,537.3371415,501.9201025,462.7670298,428.4142591,399.6250716,657,2024-09-02 00:00:00+05:30,Yes
BSE,2024-12-03 00:00:00+05:30,4624,4364.755849,3876.577003,3535.631953,3267.881095,3043.145482,4989.799805,2024-10-14 00:00:00+05:30,Yes
CDSL,2024-12-03 00:00:00+05:30,1688.449951,1545.942767,1448.569083,1359.318532,1282.579586,1217.248688,1692,2024-12-02 00:00:00+05:30,Yes
CAMS,2024-12-03 00:00:00+05:30,5144.899902,4669.295515,4438.447163,4209.232211,4007.662461,3837.144649,5145,2024-12-02 00:00:00+05:30,Yes
538734,2024-12-02 00:00:00+05:30,1648.800049,1190.532666,990.0638908,872.3709006,789.0271641,724.4220478,1648.800049,2024-12-02 00:00:00+05:30,Yes
COFORGE,2024-12-03 00:00:00+05:30,8748.950195,7796.187591,7207.874442,6843.333476,6581.730554,6371.829256,8773.049805,2024-12-02 00:00:00+05:30,Yes
504240,2024-12-02 00:00:00+05:30,854.8499756,704.9359026,645.8890781,593.154118,546.342462,505.3337967,854.8499756,2024-12-02 00:00:00+05:30,Yes
DIXON,2024-12-03 00:00:00+05:30,17035,15041.0296,13870.3249,12788.1798,11860.91999,11082.37758,17035,2024-12-03 00:00:00+05:30,Yes
DJML,2024-12-03 00:00:00+05:30,159.6399994,128.7869146,120.7955192,113.0617246,106.2477441,100.6050251,163,2024-12-02 00:00:00+05:30,Yes
DSSL,2024-12-03 00:00:00+05:30,1500.949951,1374.101843,1353.900957,1299.003694,1234.988941,1171.852328,1736.900024,2024-08-26 00:00:00+05:30,Yes
539681,2024-12-02 00:00:00+05:30,46.58000183,46.57911676,46.41800655,45.63141796,44.27097438,42.63494029,46.58000183,2023-12-07 00:00:00+05:30,Yes
DYCL,2024-12-03 00:00:00+05:30,963.7000122,778.6698381,690.8144312,641.6688799,605.2973208,574.9027767,975.3499756,2024-11-26 00:00:00+05:30,Yes
512008,2024-12-02 00:00:00+05:30,607,545.6702769,525.0098808,503.3588299,479.7805922,455.8573895,620,2024-11-06 00:00:00+05:30,Yes
EMKAY,2024-12-03 00:00:00+05:30,369.7999878,279.9991062,244.1694251,221.4468342,204.7177483,191.5987328,369.7999878,2024-12-03 00:00:00+05:30,Yes
EMUDHRA,2024-12-03 00:00:00+05:30,909.7999878,900.6696811,875.6273486,839.4583136,801.1283594,764.6895336,992.9500122,2024-10-14 00:00:00+05:30,Yes
EPIGRAL,2024-12-03 00:00:00+05:30,2132,2090.266222,1966.197716,1834.215792,1726.066738,1640.41167,2406.75,2024-10-03 00:00:00+05:30,Yes
ERIS,2024-12-03 00:00:00+05:30,1485,1379.68494,1303.728325,1234.585043,1177.783193,1130.960806,1522.050049,2024-09-06 00:00:00+05:30,Yes
522195,2024-12-02 00:00:00+05:30,2597,2182.360708,2021.7744,1874.267982,1743.882429,1629.984171,2597,2024-12-02 00:00:00+05:30,Yes
GANESHHOUC,2024-12-03 00:00:00+05:30,1327,1087.379675,1002.317115,942.3022947,889.5276089,842.4300434,1327,2024-12-03 00:00:00+05:30,Yes
GRWRHITECH,2024-12-03 00:00:00+05:30,5199.899902,4193.63319,3668.226623,3289.376465,3000.406969,2770.670843,5199.899902,2024-12-03 00:00:00+05:30,Yes
GOKEX,2024-12-03 00:00:00+05:30,971.7000122,917.9300663,918.5374435,907.6402758,889.4055426,866.9058305,1128,2024-08-07 00:00:00+05:30,No
539854,2024-12-02 00:00:00+05:30,910.5,865.2534318,810.8449468,749.904945,696.613357,653.3094566,1097.763929,2021-10-07 00:00:00+05:30,Yes
HDFCAMC,2024-12-03 00:00:00+05:30,4283.600098,4388.869515,4315.617706,4185.347486,4040.323626,3898.593853,4864,2024-10-16 00:00:00+05:30,No
ISEC,2024-12-03 00:00:00+05:30,885,862.3731466,841.1731886,819.1856418,797.7871519,777.5535646,922.4500122,2024-09-19 00:00:00+05:30,Yes
IITL,2024-12-03 00:00:00+05:30,444.9500122,351.0564831,306.0254651,278.7219889,259.1889793,243.7297878,444.9500122,2024-12-03 00:00:00+05:30,Yes
INDOTECH,2024-12-03 00:00:00+05:30,2911.100098,2440.436493,2207.585035,2017.661663,1851.05062,1706.469272,2911.100098,2024-12-03 00:00:00+05:30,Yes
INDOUS,2024-12-03 00:00:00+05:30,324.6499939,280.4956956,296.2060862,305.0855305,310.5026473,314.1159828,331.7999878,2024-09-27 00:00:00+05:30,No
JGCHEM,2024-12-03 00:00:00+05:30,467.7999878,405.8482666,375.2318429,349.1074533,329.1428363,313.9252107,484.5,2024-11-27 00:00:00+05:30,Yes
JASH,2024-12-03 00:00:00+05:30,640.9500122,525.3300225,489.3543164,463.8852062,441.4432016,421.0123193,640.9500122,2024-12-03 00:00:00+05:30,Yes
524592,2024-12-02 00:00:00+05:30,23.53000069,19.53699061,18.16105429,16.79544034,15.59669381,14.59146445,23.53000069,2024-12-02 00:00:00+05:30,Yes
JINDALPHOT,2024-12-03 00:00:00+05:30,897.5499878,827.9461677,812.8960186,789.7213983,762.5536626,734.578182,976.7000122,2024-07-30 00:00:00+05:30,Yes
JUBLFOOD,2024-12-03 00:00:00+05:30,658.7000122,633.0949767,619.6661716,603.1396274,589.7999659,579.9534712,911.8958782,2021-10-18 00:00:00+05:30,Yes
JYOTICNC,2024-12-03 00:00:00+05:30,1330,1176.631249,1142.06309,1085.719287,1025.936225,971.3713774,1449.949951,2024-06-20 00:00:00+05:30,Yes
KPEL,2024-12-03 00:00:00+05:30,640.1500244,569.0816559,559.8586768,556.4362507,554.6534422,553.5599702,641.5,2024-12-02 00:00:00+05:30,Yes
KALYANKJIL,2024-12-03 00:00:00+05:30,731.7000122,701.1977901,654.182007,606.1058002,563.3193559,525.7704994,786.25,2024-09-23 00:00:00+05:30,Yes
KAPSTON,2024-12-03 00:00:00+05:30,308.1000061,269.803135,244.8208682,224.940986,208.7688227,195.3750895,319,2024-11-07 00:00:00+05:30,Yes
KFINTECH,2024-12-03 00:00:00+05:30,1243.150024,1066.084236,999.9228578,935.4313946,878.8843381,830.545435,1243.150024,2024-12-03 00:00:00+05:30,Yes
KIRLPNU,2024-12-03 00:00:00+05:30,1789.050049,1570.080649,1448.190521,1346.104721,1260.383256,1189.8843,1792,2024-11-29 00:00:00+05:30,Yes
KRN,2024-12-03 00:00:00+05:30,852.7999878,620.6266996,570.385435,551.8969553,542.4170888,536.6732742,852.7999878,2024-12-03 00:00:00+05:30,Yes
531910,2024-12-02 00:00:00+05:30,182.6999969,148.174851,140.31925,131.4457717,122.646277,114.4687449,182.6999969,2024-12-02 00:00:00+05:30,Yes
MANORAMA,2024-12-03 00:00:00+05:30,1211.449951,1022.087132,910.944,830.0373194,766.7219175,715.3970188,1250,2024-11-29 00:00:00+05:30,Yes
523373,2024-12-02 00:00:00+05:30,201.6999969,182.6321908,153.37651,131.8079047,115.8103587,103.6092936,221.1999969,2024-11-14 00:00:00+05:30,Yes
MOTILALOFS,2024-12-03 00:00:00+05:30,969,898.8986427,824.2120767,781.974949,760.5901618,749.6843393,1549.331262,2018-01-08 00:00:00+05:30,Yes
MPSLTD,2024-12-03 00:00:00+05:30,2160.949951,2144.302727,2109.927363,2043.610135,1971.471252,1899.899416,2469,2024-08-28 00:00:00+05:30,Yes
