S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Down %
1.,Aaron Industries,325.35,47.20,340.75,0.31,1.82,51.67,18.29,30.64,19.83,7.04
2.,Aayush Art,419.85,1300.76,546.32,0.00,0.24,175.00,26.58,271.23,1.57,0.00
3.,Aayush Wellness,137.15,432.09,445.05,0.00,0.92,228.57,14.28,2280.00,12.65,0.00
4.,Ace Soft. Exp.,465.65,51.21,298.01,0.00,1.33,-11.22,5.85,195.45,2.56,8.70
5.,ADF Foods,303.90,42.58,3328.86,0.40,19.67,31.75,161.39,29.51,19.54,6.42
6.,Aditya AMC,843.45,27.15,24319.85,1.60,242.34,36.08,424.21,26.63,34.89,3.03
7.,Aelea,224.60,32.91,457.48,0.00,5.58,,87.74,38.68,24.89,9.80
8.,Afcom,577.95,57.17,1436.65,0.00,18.86,,88.76,25.12,36.65,2.07
9.,Affle India,1586.25,64.99,22284.26,0.00,91.99,37.75,542.88,25.87,16.25,7.51
10.,Ajmera Realty,923.00,26.60,3337.55,0.43,36.29,56.90,199.96,37.58,11.72,7.70
11.,All E Tech,560.70,47.78,1132.29,0.18,6.69,39.46,35.91,24.51,23.86,1.11
12.,Altius Telecom,158.50,47.47,48301.29,,242.80,-29.50,3492.60,24.87,7.27,2.16
13.,Amber Enterp.,6491.95,117.94,21914.01,0.00,20.96,440.71,1684.70,81.73,10.18,9.32
14.,Ami Organics,2079.10,91.19,8518.00,0.14,37.56,387.34,246.73,43.15,15.99,4.83
15.,Anand Rathi Wea.,3985.00,63.28,16691.38,0.35,76.31,32.39,242.48,32.81,50.74,9.06
16.,Anik Industries,98.00,,273.14,0.00,0.98,304.17,27.80,86.83,2.80,7.65
17.,ARCL Organics,203.00,11.78,162.40,0.00,2.18,74.40,56.46,30.54,20.94,0.00
18.,Aries Agro,314.50,14.53,406.72,0.32,18.76,51.66,193.66,22.41,14.79,8.23
19.,Arih.Found.Hsg.,633.75,18.14,545.02,0.16,10.56,810.34,48.29,427.18,10.83,7.09
20.,Aristo Bio-Tech,148.00,17.16,100.75,0.27,4.55,,214.15,61.22,13.25,9.76
21.,Artificial Elect,291.90,1238.07,495.23,0.00,0.21,162.50,3.62,905.56,42.11,0.00
22.,Arvind SmartSp.,950.15,63.20,4329.28,0.26,42.60,370.95,265.58,265.46,15.94,4.98
23.,Aryaman Capital,204.75,123.99,1197.72,0.00,5.94,,24.31,25.96,14.32,0.00
24.,Ashika Credit,688.05,59.88,1561.12,0.00,9.27,125.00,17.07,168.40,17.92,0.00
25.,Avalon Tech,854.80,196.86,5669.56,0.00,17.48,140.11,275.02,36.83,6.22,4.78
26.,AVP Infracon,178.65,18.77,446.25,0.00,12.76,,95.89,51.84,26.34,6.95
27.,AYM Syntex,246.75,65.93,1248.65,0.00,3.94,1131.25,403.52,21.05,6.63,6.85
28.,B-Right Real,386.90,305.12,399.71,0.00,0.03,,40.63,116.23,4.15,8.94
